id,document,label
5f4141e29dd513131eacee2f,헐! 나 이벤트에 당첨 됐어.,1
5f4141f59dd513131eacee30,내가 좋아하는 인플루언서가 이벤트를 하더라고. 그래서 그냥 신청 한번 해봤지.,1
5f4142119dd513131eacee31,"한 명 뽑는 거였는데, 그게 바로 내가 된 거야.",1
5f4142279dd513131eacee32,"당연히 마음에 드는 선물이니깐, 이벤트에 내가 신청 한번 해본 거지. 비싼 거야. 그래서 못 산 향수야.",1
5f3c9f658a3c1005aa97c4c7,응. 완전히 끝난 거야. 한 달 동안 주말에 쉬지도 못하고 일만 했거든.,1
5f3c9f808a3c1005aa97c4c8,"신나는 음악 듣는 것도 좋고, 어디 여행 가고 싶고 이 것 저 것 다 해보고 싶어.",1
5f3c9f9c8a3c1005aa97c4cb,친구들도 내 연락 기다리고 있을 텐데 내가 까먹고 있었네?,1
5f3c9fcc8a3c1005aa97c4ce,그래. 일단은 친구들부터 만나서 여행 계획에 대해서 얘기 좀 해봐야 되겠어.,1
5f3ca4778a3c1005aa97c50d,내가 좋아하는 유튜버가 좋은 제품이라고 하길래 나도 샀지. 그런데 그게 돈 받고 하는 광고였대잖아.,0
5f3ca4a28a3c1005aa97c510,그래서 사람들이 증거 사진을 올렸더니 그 때서야 광고였다고 미안하다고 하는 거야.,0
5f3ca4cf8a3c1005aa97c515,처음부터 자기 잘못을 알고 미안하다고 했으면 화가 이렇게 나진 않았을 거야. 사람들이 증거를 올리니까 그 때서야 사과하는 게 진정성이 느껴지지가 않아.,0
5f4142459dd513131eacee33,아니. 이제부터 자랑 한번 해봐야지.,1
5f41426d9dd513131eacee35,내 휴가가 엉망진창이 돼버렸어.,0
5f4142819dd513131eacee36,휴가 시작함과 동시에 장마도 같이 시작해버렸어. 그래서 하루 종일 비가 와.,0
5f41429f9dd513131eacee37,여름 휴가는 뭐니뭐니 해도 여름 바다야. 그런데 지금 이렇게 비가 많이 오니 바다를 갈 수가 없어.,0
5f4142c09dd513131eacee38,그 동안 바빠서 한 번을 휴가를 못 갔어. 한 1년만인 거 같애.,0
5f4142e09dd513131eacee39,집에서 즐길 수 있는 영화나 게임 그런 것 좀 소개 좀 해줘.,0
5f41443c9dd513131eacee41,나 축하해줘. 기분 좋은 일이 생겼어.,1
5f4144529dd513131eacee42,나 이번에 10km 마라토너로 뛰었거든. 그런데 내 기록보다 훨씬 좋은 기록이 나온 거야.,1
5f41446c9dd513131eacee43,"아니. 선수처럼 그렇게 기록이 좋진 않지만, 그 동안의 내가 노력한 결과에, 결과를 얻은 것 같애서 좋다는 거야.",1
5f4144ad9dd513131eacee45,대단히 많은 크룬 아니고.,1
5f4144c69dd513131eacee46,당연히 같이 서로 의지하면서 운동하는 사람들 있어. 그 사람들 덕분에 여기까지 온 것 같애.,1
5f41463e9dd513131eacee55,화장실은 청소를 해도 곰팡이는 없어지질 않아. 어떻게 해야 돼.,0
5f4146589dd513131eacee56,맞아. 우리 집은 화장실에 창문 하나도 없어. 그러니 습기가 빠져나갈 데가 없어.,0
5f41467a9dd513131eacee57,맞아. 장마철이라 더 많은 곰팡이가 피는 것 같애. 그래서 하루 종일 락스로 닦았더니 머리까지 아파 이젠.,0
5f41469c9dd513131eacee58,"곰팡이 제거제라는 것도 있었어? 아이, 그런 걸로 청소를 했어야 하는 건데.",0
5f4146b99dd513131eacee59,당연히 구매해서 써봐야지. 당장에 구매할게.,0
5f4146db9dd513131eacee5b,으! 쓰레기통에서 역겨운 냄새가 나기 시작했어.,0
5f4146f39dd513131eacee5c,며칠 전에 버린 음식물 쓰레기 때문에 그렇게 된 것 같애.,0
5f4147089dd513131eacee5d,당연히 바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,0
5f4147209dd513131eacee5e,"음식물 쓰레기 냄새, 방향제 냄새까지 섞이면 이상할까 봐서 못 뿌렸어.",0
5f41473b9dd513131eacee5f,내 잘못이니 어쩔 수 없지. 다음부턴 안 그럴 거야.,0
5f4147619dd513131eacee61,드디어 구매한 노트북이 도착했어.,1
5f4147779dd513131eacee62,알바비를 모아서 산 거기 때문에 좋은 건 못 샀어.,1
5f4147969dd513131eacee63,알았어. 걱정하지 마. 꼼꼼히 살펴보고 또 살펴 볼게.,1
5f4147ae9dd513131eacee64,"할 게 너무너무 많아. 영화도 봐야 되지, 그 동안 못 봤던 드라마나 예능 프로그램. 그리고 이걸로 프로젝트도 해야 돼.",1
5f4147dc9dd513131eacee65,"정말? 정말 그런 보험도 있었어? 당장에 가입해야지, 그럼.",1
5f4149139dd513131eacee7a,나 드디어 프로젝트 끝냈어!,1
5f4149299dd513131eacee7b,당연하지. 한 달 동안 주말도 반납해가면서 만든 프로젝트야. 완전히 끝냈다고.,1
5f4149479dd513131eacee7c,그래. 신나는 음악 들으면서 맘껏 춤 추고 싶어.,1
5f41495e9dd513131eacee7d,벌써 다 약속 잡아 놨지. 내일 만나기로 했어.,1
5f4149779dd513131eacee7e,그렇잖아도 내일 친구들이랑 만나서 여행 계획을 세울 거야. 좋은 생각이지?,1
5f414a679dd513131eacee87,아니 요즘은 왜들 다 이러는 건지 이해할 수가 없어.,0
5f414a7c9dd513131eacee88,내가 좋아하는 유튜버가 괜찮은 제품이라고 하나 소개해서 나도 샀거든. 그랬더니 그게 돈 받고 하는 광고였대.,0
5f414a9b9dd513131eacee89,더 실망스러운 건 모르는 척 하는 거야. 그래서 우리가 증거를 들이밀었지. 그랬더니 그 때서야 우리한테 사과하더라고.,0
5f414ac39dd513131eacee8a,억지로 하는 사과가 진정성이 있었을까? 우리가 더 상처 받은 느낌이야.,0
5f414ae39dd513131eacee8b,기분이 좀 나아진다면 그런 영상도 필요할 거라고 생각해. 좀 부탁해.,0
5f414b109dd513131eacee8d,나 아무래도 혼자 갇힌 것 같애.,0
5f414b269dd513131eacee8e,자고 일어났더니 온 마을이 다 물바다야. 나 혼자 있어. 무서워.,0
5f414b409dd513131eacee8f,"내가 잠이 들면 업어가도 몰라. 그래서 재난 문자랑 피하라는 전화도 못 받고, 그냥 잠만 자고 있었나 봐.",0
5f414b609dd513131eacee90,우리 집 주위에 다 물로 차 있어. 나갈 수가 없어.,0
5f414b7a9dd513131eacee91,내 몸은 괜찮아. 다친 덴 없어. 그리고 우리 집까진 아직 들어오지 않았어.,0
5f41ccf79dd513131eacee9e,나 드디어 프로젝트가 끝났어.,1
5f41cd159dd513131eacee9f,프로젝트에 최종 발표를 마쳤으니까 모든 게 완전히 끝난 거야. 마음이 너무나 홀가분해.,1
5f41cd379dd513131eaceea0,신나는 음악을 들으면서 춤이라도 추고 싶은 게 내 심정이야. 그만큼 기분이 좋아.,1
5f41cd589dd513131eaceea1,"프로젝트를 하느라고 한 달 동안 친구를 못 만났는데, 못 만났던 친구를 만나는 것도 좋을 거 같아.",1
5f41cdaf9dd513131eaceea2,시간이 된다면 여행을 가서 마음을 좀 힐링 시키고 오고 싶어.,1
5f41ce859dd513131eaceeab,내 휴가가 엉망이야.,0
5f41ce9a9dd513131eaceeac,"오늘부터 휴가 기간인데, 휴가 기간 내내 비 소식이 있어. 너무 짜증 나.",0
5f41cee29dd513131eaceead,"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",0
5f41cf439dd513131eaceeaf,휴가 기간 내내 비가 온다니까 아무래도 집에서 보낼 수 있는 방법을 찾아봐야 될 거 같아. 쉬면서 휴가를 즐겁게 보낼 수 있는 방법을 찾아볼게.,0
5f41cf799dd513131eaceeb0,휴가 기간 내내 비가 온다고 하니까 아무래도 집에서 휴가를 보낼 수 있는 방법을 찾아 봐야 할 거 같아.,0
5f41d0279dd513131eaceeb5,오자 마자 노트북 여기 저기를 살펴 봤는데 아무 문제가 없더라고. 성능도 정말 좋아.,1
5f41d0509dd513131eaceeb6,노트북으로는 지금 구상하고 있는 만화를 만들 거야.,1
5f41d07f9dd513131eaceeb7,종종 밖에서 작업할 일도 생기니까 노트북 보험 가입을 생각해봐야겠어.,1
5f41d0e79dd513131eaceebb,쓰레기통에서 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물 쓰레기가 상해서 냄새가 나는 거였어.,0
5f41d1259dd513131eaceebd,쓰레기통에서 냄새가 진동을 하고 날파리가 생겨서 지금 당장 쓰레기를 묶어서 버려야 할 거 같아.,0
5f41d1429dd513131eaceebe,고약한 냄새가 너무 심해서 방향제로 해결이 안 될 수도 있을 거 같아.,0
5f41d1809dd513131eaceebf,힘들어도 내가 쓰레기통에 음식물 쓰레기를 버려서 생긴 일이니까 얼른 치워야지. 어쩌겠어.,0
5f41d1a69dd513131eaceec1,화장실은 청소를 해도 곰팡이가 없어지질 않아.,0
5f41d1ce9dd513131eaceec2,화장실에 환기를 자주 시키는데 왜 이렇게 곰팡이가 안 없어질까?,0
5f41d2029dd513131eaceec3,계속 비가 오니까 습기가 많아서 곰팡이가 정말 안 없어지나 봐. 볼 때마다 청소를 하니까 너무 힘들어.,0
5f41d2279dd513131eaceec4,화장실에 곰팡이를 없애는데 곰팡이 제거제가 효과가 있을까?,0
5f41d2449dd513131eaceec5,곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나 한번 구매해서 사용해볼래. 괜찮은 걸로 추천 좀 해줘봐.,0
5f41d4e59dd513131eaceedf,내가 좋아하는 인플루언서가 진행하는 이벤트에 당첨 됐어. 너무 기뻐!,1
5f41d58c9dd513131eaceee4,"비싼 향수를 선물로 받았다고 주변 사람들한테 이야기했더니, 다들 부러워했어.",1
5f41d5f79dd513131eaceee8,"10km 마라톤 대회에 출전했는데, 이전의 내 기록을 훨씬 경신했어. 너무 기뻐!",1
5f41d61b9dd513131eaceee9,내가 달리는 운동을 너무 좋아해서 매번 열심히 연습해서 마라톤 대회에 출전했더니 좋은 성적을 낸 거 같아.,1
5f41d63e9dd513131eaceeea,"달리는 동안에는 엄청 힘들고 지쳤는데, 결승선을 들어서는 순간 기분이 엄청 좋았어! 날아갈 거 같았어!",1
5f41d6699dd513131eaceeeb,함께 달리는 크루가 있어서 힘들고 지칠 때 서로 힘이 돼서 너무 좋아.,1
5f41d8ea9dd513131eacef01,내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올렸어.,0
5f41d9159dd513131eacef02,"며칠 전에 자기는 뒷광고를 하지 않았다고 이야기했는데, 뒷광고 했다고 사과 영상을 올리니까 너무 어이가 없고 실망스러워.",0
5f41d9779dd513131eacef04,지금은 너무 화가 나서 기분 전환용 영상도 보기 싫어! 아무 영상도 보기가 싫어!,0
5f41d99e9dd513131eacef05,기분 전환용 영상이 어떤 건데? 궁금하긴 하네.,0
5f41d9c39dd513131eacef07,나 아무래도 갇힌 거 같아!,0
5f41d9e59dd513131eacef08,잠을 자고 일어났는데 나 혼자 집 안에 갇힌 거 같아. 너무 무서워.,0
5f41da539dd513131eacef0b,"집 밖을 살펴봤는데, 집 주변까지 물이 차올라서, 밖으로 나갈 수 있는 상황이 아니야.",0
5f41da779dd513131eacef0c,다행히 집 안에까지는 물이 들어오지 않았어. 몸도 괜찮지만 혼자 있는 거 자체가 너무 무섭고 두려워.,0
5f425a499dd513131eaceff8,나 드디어 프로젝트 끝났어.,1
5f425a609dd513131eaceff9,그럼. 한 달 간 주말도 반납하고 얼마나 열심히 했는데. 완전히 끝났다니까!,1
5f425a7c9dd513131eaceffa,응. 신나는 음악 들으면서 막 춤 추고 싶어.,1
5f425a939dd513131eaceffb,그렇잖아도 친구들이랑 벌써 약속했지. 내일 만나기로 했어.,1
5f425aae9dd513131eaceffc,"알았어. 뭐든지 다 하고 싶어. 내일 친구들이랑 만나서 여행 계획도 세우고, 신나는 음악 들으면서 춤도 막 출 거야.",1
5f425b749dd513131eacf00b,아니 요즘은 다 왜 이러는 거지? 난 정말 이해가 안 가.,0
5f425b8c9dd513131eacf00c,"내가 좋아하는 유튜버가 좋은 제품이라고 소개하는데, 알고 봤더니 그게 돈 받고 하는 광고였대.",0
5f425baa9dd513131eacf00d,더 실망스러운 건 우리가 증거를 들이대기까지 사과를 안하는 거야. 그런데 나중에 끝내 사과하더라고.,0
5f425bd09dd513131eacf00e,마지못해 하는 사과라서 진정성이라고는 털끝만큼도 없었어.,0
5f425bed9dd513131eacf00f,이 더러운 기분을 없앨 수 있는 영상은 아무거나 다 추천해줘.,0
5f425c169dd513131eacf011,나 아무래도 혼자 갇힌 것 같아.,0
5f425c2d9dd513131eacf012,자고 일어났더니 우리 동네가 다 물바다야.,0
5f425c469dd513131eacf013,내가 자느라고 재난문자랑 대피전화를 받지를 못했어. 그래서 나만 혼자 갇혀있는 거야.,0
5f425c669dd513131eacf014,어. 우리집 주변이 다 물바다야. 밖으로 나갈 수가 없어.,0
5f425c889dd513131eacf015,집안까지 물은 들어오지 않았지만 나갈 수 있는 통로가 다 막혀버렸어. 그리고 난 괜찮아. 기분이 조금 우울하긴 하지만.,0
5f425cc09dd513131eacf01b,헐. 나 이벤트에 당첨되었대.,1
5f425cd79dd513131eacf01c,내 좋아하는 인플루언서가 파격 이벤트를 하더라고. 그래서 그냥 한 번 신청해봤지.,1
5f425cf69dd513131eacf01f,한 명 뽑는데 내가 당첨이 됐대.,1
5f425d0c9dd513131eacf020,완전 맘에 들어. 진짜진짜 비싼 향수거든.,1
5f425d239dd513131eacf024,아니. 이제부터 해야지.,1
5f425d509dd513131eacf028,내 휴가가 엉망진창이 되었어.,0
5f425d639dd513131eacf029,정말 오랜만에 휴가를 냈더니 하필 장마철이랑 겹쳤대. 하루종일 비가 오고 있어.,0
5f425d859dd513131eacf02a,여름휴가라서 바다에 가려고 했었지. 다 엉망진창이 돼버렸어.,0
5f425da29dd513131eacf02b,회사가 바빠서 정말 1년만에 눈치보면서 낸거야.,0
5f425dc79dd513131eacf02c,이번년도는 휴가는 포기해야 되겠지? 그럼 영화나 게임을 좀 추천해줄래?,0
5f425ea39dd513131eacf03e,나 축하해줘. 정말 기분좋은 일이 있었어.,1
5f425eba9dd513131eacf042,이번 마라톤 대회에 참가했는데 내가 생각했던 것보다 내 기록이 너무 잘 나왔어.,1
